1.000000 2.218765
2.000000 2.249413
3.000000 2.255185
4.000000 2.388956
5.000000 2.451895
6.000000 2.416466
7.000000 2.313906
8.000000 2.358450
9.000000 2.383853
10.000000 2.138494
11.000000 2.363603
12.000000 2.441605
13.000000 2.411995
14.000000 2.385213
15.000000 2.623075
16.000000 2.506013
17.000000 2.588453
18.000000 2.627353
19.000000 2.367337
20.000000 2.520441
21.000000 2.687617
22.000000 2.794346
23.000000 2.259390
24.000000 2.568764
25.000000 2.617128
26.000000 2.573487
27.000000 2.455967
28.000000 2.475321
29.000000 2.622036
