1,000000 2,445597
2,000000 2,857752
3,000000 3,247301
4,000000 3,549935
5,000000 3,769669
6,000000 3,940964
7,000000 3,986509
8,000000 4,093931
9,000000 4,174616
10,000000 4,206609
11,000000 4,263073
12,000000 4,270801
13,000000 4,246417
14,000000 4,197891
15,000000 4,229261
16,000000 4,197718
17,000000 4,271954
18,000000 4,282641
19,000000 4,323890
20,000000 4,348762
21,000000 4,344350
22,000000 4,343637
23,000000 4,293622
24,000000 4,308476
25,000000 4,284556
26,000000 4,227629
27,000000 4,214643
28,000000 4,164560
29,000000 4,112072
30,000000 4,048329
31,000000 3,988556
32,000000 4,004288
33,000000 4,094683
34,000000 4,119902
35,000000 4,276000
36,000000 4,321769
37,000000 4,368781
38,000000 4,411239
39,000000 4,438026
40,000000 4,499388
41,000000 4,486609
42,000000 4,443990
43,000000 4,453434
44,000000 4,446955
45,000000 4,428747
46,000000 4,414003
47,000000 4,400055
48,000000 4,354454
49,000000 4,318598
50,000000 4,336470
51,000000 4,333120
52,000000 4,225301
53,000000 4,227100
54,000000 4,277128
55,000000 4,230520
56,000000 4,222225
57,000000 4,163385
58,000000 3,969227
59,000000 4,000518
60,000000 4,010160
61,000000 3,907923
62,000000 3,808939
63,000000 3,767164
64,000000 3,875879
65,000000 3,892862
66,000000 4,069806
67,000000 4,021828
68,000000 4,051104
69,000000 3,965533
70,000000 3,963642
71,000000 3,996273
72,000000 4,003965
73,000000 4,166529
74,000000 4,161827
75,000000 4,261397
76,000000 4,258844
77,000000 4,179937
78,000000 4,257917
79,000000 4,143790
80,000000 4,192402
81,000000 4,122827
82,000000 4,097758
83,000000 4,057177
84,000000 4,023023
85,000000 4,048749
86,000000 4,094853
87,000000 4,142469
88,000000 4,323436
89,000000 4,375952
90,000000 4,471674
91,000000 4,601887
92,000000 4,738179
93,000000 4,843568
94,000000 4,766642
95,000000 4,564510
96,000000 4,553871
97,000000 4,412463
98,000000 4,558948
99,000000 4,759706
