1,000000 1,789881
2,000000 2,028296
3,000000 2,291591
4,000000 2,495316
5,000000 2,640179
6,000000 2,767730
7,000000 2,763129
8,000000 2,892879
9,000000 2,976773
10,000000 3,033142
11,000000 3,087109
12,000000 3,093034
13,000000 3,116353
14,000000 3,070944
15,000000 3,134233
16,000000 3,129786
17,000000 3,207018
18,000000 3,209215
19,000000 3,234363
20,000000 3,249038
21,000000 3,249489
22,000000 3,202324
23,000000 3,168503
24,000000 3,170313
25,000000 3,128689
26,000000 3,077316
27,000000 3,089793
28,000000 3,105541
29,000000 3,062571
30,000000 3,031394
31,000000 3,020121
32,000000 3,034277
33,000000 3,093594
34,000000 3,112189
35,000000 3,235945
36,000000 3,234084
37,000000 3,268230
38,000000 3,281068
39,000000 3,291957
40,000000 3,337367
41,000000 3,329568
42,000000 3,311306
43,000000 3,284201
44,000000 3,275263
45,000000 3,226536
46,000000 3,229331
47,000000 3,201719
48,000000 3,174053
49,000000 3,135905
50,000000 3,094935
51,000000 3,070275
52,000000 2,952193
53,000000 2,962204
54,000000 2,990871
55,000000 2,940076
56,000000 2,888699
57,000000 2,848469
58,000000 2,673057
59,000000 2,735921
60,000000 2,716284
61,000000 2,675447
62,000000 2,646195
63,000000 2,639698
64,000000 2,680594
65,000000 2,632977
66,000000 2,811994
67,000000 2,708464
68,000000 2,682537
69,000000 2,604072
70,000000 2,565642
71,000000 2,605067
72,000000 2,535716
73,000000 2,696139
74,000000 2,680625
75,000000 2,747899
76,000000 2,758991
77,000000 2,683960
78,000000 2,815649
79,000000 2,702730
80,000000 2,798985
81,000000 2,743882
82,000000 2,750281
83,000000 2,741405
84,000000 2,614646
85,000000 2,702371
86,000000 2,722610
87,000000 2,771379
88,000000 2,892363
89,000000 2,997429
90,000000 3,085867
91,000000 3,134190
92,000000 3,219709
93,000000 3,323046
94,000000 3,224855
95,000000 3,045877
96,000000 3,019360
97,000000 2,843092
98,000000 2,898768
99,000000 3,016178
