1.000000 3.206521
2.000000 3.486798
3.000000 3.384303
4.000000 3.685290
5.000000 3.728713
6.000000 3.747765
7.000000 3.641701
8.000000 3.673932
9.000000 3.737839
10.000000 3.340101
11.000000 3.621166
12.000000 3.783104
13.000000 3.629649
14.000000 3.738485
15.000000 3.994173
16.000000 3.912008
17.000000 4.051188
18.000000 4.032156
19.000000 3.610169
20.000000 3.871341
21.000000 4.274938
22.000000 4.105135
23.000000 3.614841
24.000000 3.810474
25.000000 3.952542
26.000000 4.044668
27.000000 3.929742
28.000000 4.076672
29.000000 3.894006
