0,500000 2,044303
1,000000 2,553306
1,500000 2,811010
2,000000 2,928299
2,500000 3,015443
3,000000 3,244159
3,500000 3,446662
4,000000 3,735649
4,500000 4,045628
5,000000 4,102606
5,500000 4,209433
6,000000 4,275213
6,500000 4,251073
7,000000 4,176776
7,500000 4,172412
8,000000 4,142297
8,500000 4,040727
9,000000 4,065491
9,500000 4,067663
10,000000 4,093250
10,500000 4,077429
11,000000 3,913594
11,500000 4,110023
12,000000 3,861331
12,500000 4,249285
