1,000000 2,561850
2,000000 2,944551
3,000000 3,246694
4,000000 3,325521
5,000000 3,434397
6,000000 3,542478
7,000000 3,519195
8,000000 3,525471
9,000000 3,506761
10,000000 3,538457
11,000000 3,482731
12,000000 3,453022
13,000000 3,523233
14,000000 3,514926
15,000000 3,484703
16,000000 3,531790
17,000000 3,579488
18,000000 3,769900
19,000000 3,739802
20,000000 3,768119
21,000000 3,806405
22,000000 3,826265
23,000000 3,848020
24,000000 3,810272
25,000000 3,835047
26,000000 3,857158
27,000000 3,779365
28,000000 3,713923
29,000000 3,731442
30,000000 3,727590
31,000000 3,771477
32,000000 3,728575
33,000000 3,682302
34,000000 3,665761
35,000000 3,787323
36,000000 3,848314
37,000000 3,913135
38,000000 3,871931
39,000000 3,880918
40,000000 3,938985
41,000000 3,872201
42,000000 3,830983
43,000000 3,753173
44,000000 3,876295
45,000000 3,846683
46,000000 3,886097
47,000000 3,828455
48,000000 3,865388
49,000000 3,852720
50,000000 3,903266
51,000000 3,970724
52,000000 4,038928
53,000000 4,037816
54,000000 3,999984
55,000000 4,036397
56,000000 4,082220
57,000000 4,098378
58,000000 3,984190
59,000000 4,050702
60,000000 3,875420
61,000000 3,845207
62,000000 3,723288
63,000000 3,603567
64,000000 3,728383
65,000000 3,799971
66,000000 3,763226
67,000000 3,841031
68,000000 3,748943
69,000000 3,775100
70,000000 3,751709
71,000000 3,584085
72,000000 3,628116
73,000000 3,483216
74,000000 3,450595
75,000000 3,388008
76,000000 3,530445
77,000000 3,623262
78,000000 3,760861
79,000000 3,764426
80,000000 3,709007
81,000000 3,750626
82,000000 3,808196
83,000000 3,757427
84,000000 3,792376
85,000000 3,674097
86,000000 3,686204
87,000000 3,668768
88,000000 3,619684
89,000000 3,826089
90,000000 3,995412
91,000000 3,795884
92,000000 3,874557
93,000000 3,581327
94,000000 3,510212
95,000000 3,659026
96,000000 4,036033
97,000000 4,280911
98,000000 4,246609
99,000000 3,822414
