1,000000 1,780505
2,000000 1,938855
3,000000 2,116397
4,000000 2,137307
5,000000 2,192691
6,000000 2,235067
7,000000 2,227149
8,000000 2,240291
9,000000 2,212752
10,000000 2,257544
11,000000 2,232534
12,000000 2,230648
13,000000 2,276125
14,000000 2,247009
15,000000 2,222386
16,000000 2,260666
17,000000 2,267103
18,000000 2,385930
19,000000 2,346878
20,000000 2,372158
21,000000 2,404363
22,000000 2,402516
23,000000 2,430810
24,000000 2,383783
25,000000 2,416416
26,000000 2,421071
27,000000 2,376079
28,000000 2,331372
29,000000 2,338074
30,000000 2,321962
31,000000 2,364006
32,000000 2,356784
33,000000 2,323682
34,000000 2,284928
35,000000 2,371970
36,000000 2,410610
37,000000 2,426137
38,000000 2,429652
39,000000 2,410125
40,000000 2,481560
41,000000 2,423785
42,000000 2,400692
43,000000 2,329242
44,000000 2,433759
45,000000 2,396340
46,000000 2,424403
47,000000 2,404431
48,000000 2,431062
49,000000 2,410338
50,000000 2,451996
51,000000 2,452298
52,000000 2,502213
53,000000 2,482105
54,000000 2,502697
55,000000 2,505744
56,000000 2,535380
57,000000 2,550453
58,000000 2,481385
59,000000 2,546572
60,000000 2,399499
61,000000 2,375658
62,000000 2,303963
63,000000 2,273464
64,000000 2,374993
65,000000 2,371346
66,000000 2,381747
67,000000 2,372194
68,000000 2,327177
69,000000 2,316035
70,000000 2,365505
71,000000 2,223022
72,000000 2,261469
73,000000 2,204325
74,000000 2,161032
75,000000 2,147317
76,000000 2,218273
77,000000 2,262269
78,000000 2,343906
79,000000 2,386843
80,000000 2,325315
81,000000 2,386249
82,000000 2,406228
83,000000 2,359499
84,000000 2,424350
85,000000 2,343188
86,000000 2,314621
87,000000 2,314747
88,000000 2,302657
89,000000 2,366668
90,000000 2,525943
91,000000 2,383103
92,000000 2,470111
93,000000 2,269413
94,000000 2,271718
95,000000 2,275185
96,000000 2,597042
97,000000 2,629776
98,000000 2,727725
99,000000 2,384146
